"","Plot_ID","n_months","var_name","sim_value","obs_value","residual_value"
"446",31,661,"basal_area",52.2095407429135,54,1.79045925708652
"447",32,72,"basal_area",24.8609177383979,30.3,5.43908226160207
"448",32,145,"basal_area",26.4435301738375,36.8,10.3564698261625
"449",32,241,"basal_area",31.9569685854341,32.7,0.743031414565923
"450",32,289,"basal_area",36.6410363682316,25.9,-10.7410363682316
"451",32,337,"basal_area",37.2869504234552,30.9,-6.38695042345518
"452",32,421,"basal_area",43.4469576485246,30.2,-13.2469576485246
"453",32,528,"basal_area",53.3786098713558,36.4,-16.9786098713558
"454",32,661,"basal_area",62.7075001405402,42.6,-20.1075001405402
"455",33,61,"basal_area",29.4871331957165,41.4,11.9128668042835
"456",33,120,"basal_area",21.1596231050888,48.4,27.2403768949112
"457",34,61,"basal_area",20.6884789813052,37.2,16.5115210186948
"458",34,120,"basal_area",15.8450799030807,37.2,21.3549200969193
"459",35,61,"basal_area",27.5345756389099,43,15.4654243610901
"460",35,120,"basal_area",20.6074845860646,46.7,26.0925154139354
"461",36,61,"basal_area",28.7350945261417,45,16.2649054738583
"462",36,120,"basal_area",23.9251002700702,45.8,21.8748997299298
"463",37,61,"basal_area",40.3672249321818,54,13.6327750678182
"464",37,120,"basal_area",33.9738288230377,58.8,24.8261711769623
"465",38,97,"basal_area",28.5147424801272,40.5,11.9852575198728
"466",38,182,"basal_area",29.3154751486073,31.2,1.88452485139274
"467",38,289,"basal_area",28.7664000673267,39.4,10.6335999326733
"468",38,397,"basal_area",21.4500710932681,30,8.54992890673189
"469",38,505,"basal_area",23.963668139458,23.4,-0.563668139457967
"470",39,97,"basal_area",18.4810506929088,28.3,9.81894930709121
"471",39,182,"basal_area",19.5905160864143,25.5,5.90948391358569
"472",39,289,"basal_area",22.2650446189449,26.3,4.03495538105506
"473",39,349,"basal_area",21.9293282613459,22.3,0.37067173865406
"474",39,505,"basal_area",28.8261860901789,21.4,-7.42618609017894
"475",40,97,"basal_area",22.9392310121594,23.1,0.160768987840619
"476",40,182,"basal_area",30.6699546904773,30.8,0.130045309522735
"477",40,289,"basal_area",38.4594557868025,39.8,1.34054421319747
"478",40,397,"basal_area",33.8566962276867,42.8,8.94330377231334
"479",40,505,"basal_area",41.119130254087,32.7,-8.41913025408703
"480",41,97,"basal_area",21.2444999423103,40.6,19.3555000576897
"481",41,182,"basal_area",25.5734747539952,32.9,7.32652524600476
"482",41,289,"basal_area",25.5159124455005,39.5,13.9840875544995
"483",41,397,"basal_area",31.4625173399035,31.1,-0.362517339903476
"484",41,505,"basal_area",29.8028627547408,33.2,3.39713724525921
"485",42,97,"basal_area",22.9687274279106,37.4,14.4312725720894
"486",42,182,"basal_area",24.0739227437953,34.3,10.2260772562047
"487",42,289,"basal_area",25.2072671270756,34.7,9.49273287292438
"488",42,397,"basal_area",25.3376760443891,31.3,5.96232395561094
"489",42,505,"basal_area",25.6324560434035,25.4,-0.232456043403534
"490",43,97,"basal_area",29.745995186492,30.5,0.754004813507986
"491",43,182,"basal_area",24.2245521321395,37.4,13.1754478678605
"492",43,289,"basal_area",31.0289861344283,33.2,2.17101386557171
"493",43,397,"basal_area",27.2621210150096,34.1,6.83787898499037
"494",43,505,"basal_area",29.1710759755774,19.7,-9.47107597557739
"495",44,97,"basal_area",38.6108824898809,45.4,6.78911751011909
"496",44,182,"basal_area",37.6316092847409,50.5,12.8683907152591
"497",44,289,"basal_area",34.4082832386098,55,20.5917167613902
"498",44,397,"basal_area",27.4437915075242,49.6,22.1562084924758
"499",44,505,"basal_area",28.0471225682612,28.4,0.352877431738829
"500",45,97,"basal_area",20.9196785319011,39.2,18.2803214680989
"501",45,182,"basal_area",26.3458441363375,32.5,6.15415586366245
"502",45,289,"basal_area",26.1015718256483,40.1,13.9984281743517
"503",45,397,"basal_area",32.3477073612637,30.4,-1.94770736126375
"504",45,505,"basal_area",36.1721851783674,33.5,-2.67218517836739
"505",46,85,"basal_area",17.1620845439561,27,9.83791545604392
"506",46,144,"basal_area",23.0870584060995,24.1,1.01294159390053
"507",46,205,"basal_area",19.429347518319,30.5,11.070652481681
"508",46,348,"basal_area",24.3631188600399,26.9,2.53688113996008
"509",46,420,"basal_area",30.6064655029633,21.6,-9.00646550296327
"510",46,494,"basal_area",31.3854091588422,24.4,-6.98540915884218
